column,row,site,lat,lon,year,month,date,aqua_day,flag,aqua_night,flag,terra_day,flag,terra_night,flag,lstAvg
448,914,52825,36.26,96.26,2019,10,8,44.78959503676742,3,2.0,2,15.475414201500826,3,-4.269952717644628,3,14.498764130155905
458,1098,52836,36.18,98.06,2019,10,8,29.0,2,-9.7217407663411,3,25.99000000000001,1,-8.643222385493573,3,9.156259212041334
584,732,52908,35.13,93.05,2019,10,8,11.550000000000011,1,-4.189999999999998,1,11.0,2,0.0,2,4.590000000000003
949,165,55248,32.09,84.25,2019,10,8,26.010000000000048,1,-4.489999999999952,1,20.850000000000023,1,-1.169999999999959,1,10.30000000000004
1045,1038,55299,31.29,92.04,2019,10,8,21.0,2,-3.0,2,18.983387584710727,3,-2.0,2,8.745846896177682
1179,18,55437,30.17,81.15,2019,10,8,20.390000000000043,1,-6.109999999999957,1,23.150000000000034,1,-5.089999999999975,1,8.085000000000036
1165,1035,55493,30.29,91.06,2019,10,8,14.037123490590602,3,-2.0,2,8.410970827797428,3,0.0,2,5.1120235795970075
704,764,56004,34.13,92.26,2019,10,8,16.77000000000004,1,-4.7099999999999795,1,16.0,2,-1.0,2,6.765000000000015
710,1090,56021,34.08,95.49,2019,10,8,19.558770791394636,3,-6.0,2,14.0,2,-6.729999999999961,1,5.207192697848669
185,358,52602,38.45,93.2,2019,10,9,17.190000000000055,1,-3.9699999999999704,1,12.950000000000045,1,-8.269999999999982,1,4.475000000000037
422,612,52707,36.48,93.41,2019,10,9,30.39982371160295,3,-2.0,2,41.37991349492222,3,-3.399961884279037,3,16.594943830561533
449,749,52818,36.25,94.55,2019,10,9,13.450517224962823,3,-11.569999999999993,1,33.99766676547006,3,-9.661140823736787,3,6.554260791674025
448,914,52825,36.26,96.26,2019,10,9,29.143394208920654,3,1.3700000000000045,1,24.69522123108618,3,3.430000000000007,1,14.659653860001711
458,1098,52836,36.18,98.06,2019,10,9,5.186539130983874,3,-3.3116348299663514,3,30.0,2,3.104416338726878,3,8.7448301599361
584,732,52908,35.13,93.05,2019,10,9,6.0,2,-6.0,2,9.150000000000034,1,-7.0,2,0.5375000000000085
949,165,55248,32.09,84.25,2019,10,9,28.0,2,-5.0,2,23.0,2,-1.0499999999999545,1,11.237500000000011
1045,1038,55299,31.29,92.04,2019,10,9,16.0,2,-4.589999999999975,1,26.3083638837561,3,-4.0,2,8.429590970939032
1179,18,55437,30.17,81.15,2019,10,9,22.0,2,-10.789999999999964,1,16.890000000000043,1,-5.25,1,5.71250000000002
1165,1035,55493,30.29,91.06,2019,10,9,7.36628924368415,3,-2.0499999999999545,1,11.588384012226015,3,-1.4899999999999523,1,3.8536683139775647
704,764,56004,34.13,92.26,2019,10,9,8.650000000000034,1,-9.389999999999986,1,13.0,2,-3.0,2,2.315000000000012
710,1090,56021,34.08,95.49,2019,10,9,20.031386134796776,3,-8.0,2,14.810000000000002,1,-7.0,2,4.9603465336991945
185,358,52602,38.45,93.2,2019,10,10,17.0,2,-2.0,2,14.0,2,-3.9499999999999886,1,6.262500000000003
422,612,52707,36.48,93.41,2019,10,10,39.09460846753791,3,0.0,2,22.999206627951935,3,-12.855166015069699,3,12.309662270105036
449,749,52818,36.25,94.55,2019,10,10,21.782735826447606,3,-8.0,2,7.2338920657057315,3,-8.302716982245329,3,3.178477727477002
448,914,52825,36.26,96.26,2019,10,10,24.369264922104776,3,0.0,2,20.358280007261783,3,0.0,2,11.18188623234164
458,1098,52836,36.18,98.06,2019,10,10,19.481042828876525,3,-5.0,2,12.226173958741128,3,-6.169515265064547,3,5.134425380638277
584,732,52908,35.13,93.05,2019,10,10,-0.38665345404297113,3,-7.889999999999986,1,-0.14999999999997726,1,-6.717988414602587,3,-3.7861604671613804
949,165,55248,32.09,84.25,2019,10,10,29.0,2,-6.809999999999945,1,26.090000000000032,1,-4.649999999999977,1,10.907500000000027
1045,1038,55299,31.29,92.04,2019,10,10,11.690000000000055,1,-4.0,2,16.49881738703698,3,-6.489999999999952,1,4.42470434675927
1179,18,55437,30.17,81.15,2019,10,10,26.310000000000002,1,-8.769999999999982,1,23.970000000000027,1,-4.46999999999997,1,9.26000000000002
1165,1035,55493,30.29,91.06,2019,10,10,3.8100000000000023,1,-4.789999999999964,1,11.390000000000043,1,-0.92999999999995,1,2.370000000000033
704,764,56004,34.13,92.26,2019,10,10,12.930000000000007,1,-6.149999999999977,1,11.050000000000011,1,-3.8699999999999477,1,3.4900000000000233
710,1090,56021,34.08,95.49,2019,10,10,14.681844541453756,3,-10.829999999999984,1,12.975857572164387,3,-7.729999999999961,1,2.2744255284045494
185,358,52602,38.45,93.2,2019,10,11,19.0,2,-1.169999999999959,1,15.0,2,-0.1099999999999568,1,8.180000000000021
422,612,52707,36.48,93.41,2019,10,11,21.0,2,-1.1299999999999955,1,9.0,2,-17.33728944885661,3,2.883177637785849
449,749,52818,36.25,94.55,2019,10,11,6.08334798424039,3,-4.7099999999999795,1,14.89300536637893,3,-5.4027407158282585,3,2.7159031586977704
448,914,52825,36.26,96.26,2019,10,11,17.0,2,-1.25,1,9.0,2,-0.2699999999999818,1,6.1200000000000045
458,1098,52836,36.18,98.06,2019,10,11,17.11812289233785,3,-7.269999999999982,1,8.321697004605085,3,-6.0,2,3.0424549742357385
584,732,52908,35.13,93.05,2019,10,11,11.995206710067578,3,-7.0,2,1.0,2,-13.789999999999964,1,-1.9486983224830965
949,165,55248,32.09,84.25,2019,10,11,32.13000000000005,1,-9.189999999999998,1,25.210000000000036,1,-3.2899999999999636,1,11.215000000000032
1045,1038,55299,31.29,92.04,2019,10,11,14.0,2,-4.25,1,14.0,2,-3.6499999999999773,1,5.025000000000006
1179,18,55437,30.17,81.15,2019,10,11,23.77000000000004,1,-10.049999999999955,1,22.53000000000003,1,-5.569999999999993,1,7.67000000000003
1165,1035,55493,30.29,91.06,2019,10,11,0.0,2,-2.8699999999999477,1,8.0,2,-2.269999999999982,1,0.7150000000000176
704,764,56004,34.13,92.26,2019,10,11,10.990000000000009,1,-7.169999999999959,1,8.990000000000009,1,-7.75,1,1.2650000000000148
710,1090,56021,34.08,95.49,2019,10,11,7.810000000000002,1,-10.289999999999964,1,4.3468387580433046,3,-8.649999999999977,1,-1.6957903104891585
185,358,52602,38.45,93.2,2019,10,12,20.49000000000001,1,0.2300000000000182,1,16.910000000000025,1,2.090000000000032,1,9.930000000000021
422,612,52707,36.48,93.41,2019,10,12,21.27000000000004,1,-2.329999999999984,1,18.110000000000014,1,-4.93841313640587,3,8.02789671589855
449,749,52818,36.25,94.55,2019,10,12,18.67756410082802,3,-3.0,2,15.327821691520512,3,11.0,2,10.501346448087133
448,914,52825,36.26,96.26,2019,10,12,22.350000000000023,1,-9.649999999999977,1,15.850000000000023,1,-13.629999999999995,1,3.730000000000018
458,1098,52836,36.18,98.06,2019,10,12,19.0,2,-9.129999999999995,1,14.509384256787598,3,-5.329999999999984,1,4.762346064196905
584,732,52908,35.13,93.05,2019,10,12,-4.189605242572725,3,-7.869999999999948,1,2.0100000000000477,1,-12.0,2,-5.512401310643156
949,165,55248,32.09,84.25,2019,10,12,23.890000000000043,1,-6.6299999999999955,1,24.110000000000014,1,-10.369999999999948,1,7.750000000000028
1045,1038,55299,31.29,92.04,2019,10,12,17.0,2,-4.389999999999986,1,14.510000000000048,1,-2.9899999999999523,1,6.032500000000027
1179,18,55437,30.17,81.15,2019,10,12,25.870000000000005,1,-8.089999999999975,1,23.810000000000002,1,-6.169999999999959,1,8.855000000000018
1165,1035,55493,30.29,91.06,2019,10,12,-2.589999999999975,1,-3.9699999999999704,1,2.930000000000007,1,-1.2299999999999613,1,-1.214999999999975
704,764,56004,34.13,92.26,2019,10,12,11.0,2,-9.689999999999998,1,8.0,2,-7.369999999999948,1,0.48500000000001364
710,1090,56021,34.08,95.49,2019,10,12,-3.54608496488072,3,-11.389999999999986,1,28.291763879125938,3,-9.0,2,1.088919728561308
185,358,52602,38.45,93.2,2019,10,13,20.190000000000055,1,-3.4699999999999704,1,21.510000000000048,1,-2.3899999999999864,1,8.960000000000036
422,612,52707,36.48,93.41,2019,10,13,20.77000000000004,1,-4.909999999999968,1,26.970000000000027,1,-3.25,1,9.895000000000024
449,749,52818,36.25,94.55,2019,10,13,21.05000000000001,1,-2.8899999999999864,1,18.55000000000001,1,-0.9099999999999682,1,8.950000000000017
448,914,52825,36.26,96.26,2019,10,13,27.110000000000014,1,1.1300000000000523,1,22.07000000000005,1,1.7500000000000568,1,13.015000000000043
458,1098,52836,36.18,98.06,2019,10,13,13.650000000000034,1,-3.92999999999995,1,19.921018132939935,3,-4.46999999999997,1,6.292754533235012
584,732,52908,35.13,93.05,2019,10,13,10.867732400423847,3,-9.329999999999984,1,3.3700000000000045,1,-10.829999999999984,1,-1.4805668998940291
949,165,55248,32.09,84.25,2019,10,13,30.07000000000005,1,-8.629999999999995,1,30.250000000000057,1,-2.2899999999999636,1,12.350000000000037
1045,1038,55299,31.29,92.04,2019,10,13,20.05000000000001,1,-4.0,2,14.550000000000011,1,-4.009999999999991,1,6.647500000000008
1179,18,55437,30.17,81.15,2019,10,13,24.55000000000001,1,-8.75,1,23.27000000000004,1,-5.649999999999977,1,8.355000000000018
1165,1035,55493,30.29,91.06,2019,10,13,-0.06719811074435711,3,-3.509999999999991,1,12.130000000000052,1,-1.7899999999999636,1,1.6907004723139352
704,764,56004,34.13,92.26,2019,10,13,12.310000000000002,1,-7.6299999999999955,1,6.430000000000007,1,-7.109999999999957,1,1.0000000000000142
710,1090,56021,34.08,95.49,2019,10,13,4.3374144565314054,3,-11.449999999999989,1,3.0,2,-10.069999999999993,1,-3.545646385867144
185,358,52602,38.45,93.2,2019,10,14,17.0,2,-0.8299999999999841,1,17.0,2,-2.0,2,7.792500000000004
422,612,52707,36.48,93.41,2019,10,14,17.0,2,-5.7099999999999795,1,16.0,2,-4.0,2,5.822500000000005
449,749,52818,36.25,94.55,2019,10,14,16.0,2,-4.0,2,11.0,2,-13.489999999999952,1,2.377500000000012
