column,row,site,lat,lon,year,month,date,aqua_day,flag,aqua_night,flag,terra_day,flag,terra_night,flag,lstAvg
704,764,56004,34.13,92.26,2019,10,5,5.510000000000048,1,-3.1299999999999955,1,17.210000000000036,1,-1.8899999999999864,1,4.425000000000026
710,1090,56021,34.08,95.49,2019,10,5,11.53000000000003,1,-3.6499999999999773,1,15.110000000000014,1,-1.849999999999966,1,5.285000000000025
185,358,52602,38.45,93.2,2019,10,6,20.110000000000014,1,-2.169999999999959,1,18.110000000000014,1,-0.589999999999975,1,8.865000000000023
422,612,52707,36.48,93.41,2019,10,6,31.970000000000027,1,-1.9499999999999886,1,27.210000000000036,1,0.7500000000000568,1,14.495000000000033
449,749,52818,36.25,94.55,2019,10,6,29.410000000000025,1,0.9900000000000091,1,24.57000000000005,1,2.890000000000043,1,14.465000000000032
448,914,52825,36.26,96.26,2019,10,6,30.07000000000005,1,5.390000000000043,1,26.0,2,-1.8995795073756625,3,14.890105123156108
458,1098,52836,36.18,98.06,2019,10,6,12.830000000000041,1,-0.5299999999999727,1,22.0,2,1.0643831230627967,3,8.841095780765716
584,732,52908,35.13,93.05,2019,10,6,19.610000000000014,1,-2.329999999999984,1,12.550000000000011,1,-4.069999999999993,1,6.440000000000012
949,165,55248,32.09,84.25,2019,10,6,29.0,2,-1.8099999999999454,1,23.77000000000004,1,1.9700000000000273,1,13.23250000000003
1045,1038,55299,31.29,92.04,2019,10,6,24.0,2,-5.0499999999999545,1,23.0,2,-2.2099999999999795,1,9.935000000000016
1179,18,55437,30.17,81.15,2019,10,6,19.0,2,-6.569999999999993,1,15.810000000000002,1,-2.6899999999999977,1,6.387500000000003
1165,1035,55493,30.29,91.06,2019,10,6,12.469802025492342,3,-6.5499999999999545,1,2.0,2,-3.0299999999999727,1,1.2224505063731037
704,764,56004,34.13,92.26,2019,10,6,17.494850582692365,3,-3.3699999999999477,1,17.930000000000007,1,-2.25,1,7.451212645673106
710,1090,56021,34.08,95.49,2019,10,6,4.830000000000041,1,-4.0,2,16.810000000000002,1,-3.0,2,3.660000000000011
185,358,52602,38.45,93.2,2019,10,7,19.99000000000001,1,-2.0,2,15.910000000000025,1,-3.0,2,7.7250000000000085
422,612,52707,36.48,93.41,2019,10,7,30.230000000000018,1,-3.669999999999959,1,29.910000000000025,1,2.936220559671394,3,14.85155513991787
449,749,52818,36.25,94.55,2019,10,7,28.930000000000007,1,-3.0,2,24.310000000000002,1,1.0,2,12.810000000000002
448,914,52825,36.26,96.26,2019,10,7,29.0,2,4.0,2,27.33000000000004,1,-2.824586763592791,3,14.376353309101813
458,1098,52836,36.18,98.06,2019,10,7,21.33000000000004,1,1.378634410221494,3,21.730000000000018,1,-9.33151436611654,3,8.776780011026254
584,732,52908,35.13,93.05,2019,10,7,16.55000000000001,1,-2.109999999999957,1,16.05000000000001,1,-1.589999999999975,1,7.225000000000023
949,165,55248,32.09,84.25,2019,10,7,27.0,2,-3.0,2,22.0,2,0.0,2,11.5
1045,1038,55299,31.29,92.04,2019,10,7,26.99000000000001,1,-2.0499999999999545,1,25.230000000000018,1,-0.049999999999954525,1,12.53000000000003
